,name,album,artist,release_date,duration,popularity,id,kmeans-3clusters
108,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,431333,65,3m7V717IKZqZLW5qUIOxdD,2
109,Silver Springs - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,288786,60,4nZi6XNe36Ut4Nij3IQ1yC,2
112,Heroes - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,1977,371413,77,7Jh1bpe76CNTCgdgAdBw4Z,2
118,Bumerang,Egzotyka,Quebonafide,2017-06-07,208407,36,5pxIcrqw518z9noxlSsCia,2
124,Legendary,No Place Is Home,Welshly Arms,2018-05-25,232173,66,2bDENJyfbxj0neGiXUFvIX,2
144,Nocnym pociągiem aż do końca świata,Happiness Is Easy,Myslovitz,2006-05-12,266973,38,24jVhAsRXxmoN91ThJVSeI,2
146,W domach z betonu,W domach z betonu,PRO8L3M,2020-03-02,214306,34,0T0GUG3sWYYgjDUJQwo1aX,2
149,"Wieża radości, wieża samotności",Europa i Azja,Sztywny Pal Azji,2001-12-31,296586,51,2nyBbMPk3yWE0cLJmJcbzH,2
152,Knockin' On Heaven's Door,Use Your Illusion II,Guns N' Roses,1991-09-18,336000,79,4JiEyzf0Md7KEFFGWDDdCr,2
153,"Nikt tak pięknie nie mówił, że się boi miłości",Bułgarskie centrum,Pidżama Porno,2016-04-01,374093,49,1kNPvVDqN2KZZrOhyqEiux,2
156,Biała flaga - Live,Republika (Reedycja 2011),Republika,2002-03-30,320373,34,2HfsOApfOXphR5FJnv88IX,2
163,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290146,81,3AVrVz5rK8Hrqo9YGiVGN5,2
165,Ordinary Man (feat. Elton John),Ordinary Man (feat. Elton John),Ozzy Osbourne,2020-01-10,301730,56,6eEYGGFfFbtKHCgJM4uh9v,2
166,Under the Graveyard,Under the Graveyard,Ozzy Osbourne,2019-11-08,297682,56,0C4bx13JIMSWOAxd8TaoVq,2
167,Iron Man - 2012 - Remaster,Iron Man (2012 - Remaster),Black Sabbath,1970-09-18,353613,18,7l3WVKiAbCTnHfUMu1w85n,2
168,N.I.B.,Black Sabbath (2009 Remastered Version),Black Sabbath,1970-02-13,364493,64,62oNfnQqObaqARM0DTibAL,2
173,"Tam gdzie jest nudno, ale gdzie będziemy szczęśliwi",Raj,The Dumplings,2018-09-21,261413,36,6mn3J5bVu0Bt3hPlK7lkqt,2
174,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,1992-01-01,295533,81,0jWgAnTrNZmOGmqgvHhZEm,2
175,Miss You,Golgotha,W.A.S.P.,2015-10-02,461480,33,30sZ1d4G8K8RVNhz0IWgPN,2
176,Johnny B.,Super Hits,The Hooters,1985,237466,58,20JrcZW9Djp70GZyFRrAfl,2
182,Hall of Fame (feat. will.i.am),#3,The Script,2012-09-10,202533,69,1X1DWw2pcNZ8zSub3uhlNz,2
183,The Nights,The Days / Nights,Avicii,2014-12-01,176658,0,3OwPSJu609AMzotCEyoMiO,2
191,Street of Dreams - Bonus Version,The Village Lanterne,Blackmore's Night,2006-04-04,272946,8,7qUx8EtbduXZru3ZXlQJqS,2
198,Komplett im Arsch,Scheitern und Verstehen,Feine Sahne Fischfilet,2012-11-09,283653,0,2lPXTisSIBbl5WtOvZ9gSj,2
204,Adios,Fight Club,PRO8L3M,2021-03-30,212013,41,6HFVoNXErW7mM9P9sfunYh,2
205,Hymne gegen euch,Hymne gegen euch,Provinz,2021-02-16,178668,32,5eodOuMG2p2SfH87betM3X,2
207,Bevor ich geh,Mama,MoTrip,2015-06-19,209655,31,5nStQfmz4X56SGYQZ1JQSk,2
221,Nisko jest niebo (prod. Auer),Nisko jest niebo (prod. Auer),Pezet,2020-11-04,204788,48,1YSjp4pscPTOHaw2lyKVTA,2
224,Apollo,Akademia Sztuk Pięknych,Avi,2021-05-21,186400,59,2S13g8BhBuFzkGpwDw1ONM,2
228,W domach z betonu nie ma wolnej miłości,Polska nostalgia 60+ Cz. 4,Various Artists,2015-05-22,265053,47,6C48u4T4hntL2LMEIo8fbh,2
240,The Writing On The Wall,The Writing On The Wall,Iron Maiden,2021-07-15,373898,35,4a66HnjRw3kBeQnIGcc8v9,2
245,Schodki,100 dni do matury,Mata,2020-01-17,235773,64,0vPVqOKo8LWVganQgBZS5y,2
254,Phantom of the Opera - 2015 Remaster,Iron Maiden (2015 Remaster),Iron Maiden,1980,441466,60,14H2fE4WEdkEem0kjVeODT,2
255,Iron Maiden - 2015 Remaster,Iron Maiden (2015 Remaster),Iron Maiden,1980,214360,52,21wB3DaIk112Ry3mEzqfit,2
265,Interakcje,Mieszane Uczucia,Rau Performance,2021-04-23,227253,27,1C3aSTCbSbJOstEgdICLC8,2
271,Lepsza strona słońca,Czarno na białym,Gibbs,2021-09-30,264831,47,75TYlcnUj2ntdZqBy5RaH5,2
277,He Is,Meliora (Deluxe Edition),Ghost,2016-09-16,253173,43,0kFlrVCURmdI28SncSXDI3,2
284,"Instrumedley - Live at Budokan Hall, Tokyo, Japan, 4/26/2004",Live at Budokan,Dream Theater,2004-10-05,735000,32,4dvv9kjWmlLqYdISQoOuDK,2
288,Seventh Sun,Shining Of Your Soul,Scorpions,2022-02-18,330717,25,7sNNLWgh68ryM8Rk6DPqsY,2
291,Call Me Little Sunshine,IMPERA,Ghost,2022-03-11,284266,66,4xAmbn7xiy6wGOs4oaxv70,2
299,Do It Like A Dude,Who You Are (Platinum Edition),Jessie J,2011-01-01,195240,59,4wAJ8aQ9Ufj9ylfWESkrDL,2
302,Terrible Thing,Terrible Thing,AG,2019-03-05,217680,47,7Ks9Ajgd4ZZ5hhiDCWcDoc,2
304,Hey Hey Rise Up - feat. Andriy Khlyvnyuk of Boombox,Hey Hey Rise Up (feat. Andriy Khlyvnyuk of Boombox),Pink Floyd,2022-04-08,206493,52,6FsXPr00DJIGSMRLNrmmZy,2
307,Durch den Monsun - Radio Mix,Durch Den Monsun,Tokio Hotel,2005-01-01,237146,42,5OiC3eltQO7gXvOZMbrTn3,2
