,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,time_signature_1,time_signature_3,time_signature_4,time_signature_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,kmeans-3clusters
0,0.238,0.109,81.264,0.0326,0.0421,2.73e-05,0.289,282493,-12.244,0.187,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2,0.734,0.22,120.55,0.0374,0.00079,0.00554,0.461,357933,-9.379,0.423,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
3,0.551,0.127,118.657,0.0331,0.00606,0.000256,0.491,259867,-9.652,0.349,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
5,0.656,0.139,153.747,0.0319,0.0431,0.000161,0.353,245627,-5.712,0.195,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
7,0.544,0.11,127.284,0.0364,0.293,1.11e-05,0.321,398267,-7.179,0.283,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
8,0.412,0.0644,132.986,0.0316,0.188,0.0339,0.32,396467,-12.75,0.282,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
9,0.959,0.161,154.221,0.0908,0.0263,0.000148,0.314,309640,-4.657,0.492,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13,0.441,0.362,75.221,0.0248,0.232,0.149,0.521,511013,-11.176,0.238,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
14,0.721,0.391,97.578,0.0254,0.00348,0.0113,0.521,328427,-7.699,0.611,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
17,0.667,0.258,128.459,0.1,0.342,0.0,0.53,211385,-7.055,0.135,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
20,0.759,0.231,179.904,0.0431,0.0555,0.0,0.263,284496,-7.288,0.429,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24,0.309,0.134,127.155,0.0299,0.153,0.22,0.479,379213,-14.751,0.182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
25,0.591,0.0891,98.51,0.0248,0.0248,0.00275,0.45,231987,-5.551,0.283,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
26,0.852,0.0624,117.418,0.0511,0.0119,0.076,0.279,558933,-7.838,0.438,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
27,0.909,0.125,173.674,0.0574,0.135,0.0336,0.307,366136,-7.08,0.443,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
28,0.656,0.0892,139.352,0.0302,0.0105,0.0,0.282,251867,-6.557,0.242,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
35,0.753,0.115,172.994,0.0476,0.019,0.000664,0.43,264960,-7.309,0.455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
37,0.763,0.238,137.967,0.028,0.000795,1.86e-05,0.534,192160,-6.064,0.576,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
40,0.913,0.347,119.992,0.0466,0.0263,1.35e-05,0.551,224493,-4.063,0.544,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44,0.801,0.288,113.98,0.0616,0.5,0.363,0.408,428267,-6.648,0.262,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
51,0.605,0.103,103.929,0.0294,0.0047,0.00144,0.282,403453,-4.916,0.0783,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
54,0.875,0.402,75.009,0.0422,0.00752,0.000461,0.284,340907,-6.069,0.595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
55,0.59,0.0869,109.969,0.0484,0.0837,0.00821,0.324,337560,-6.94,0.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
56,0.788,0.0848,121.98,0.0381,0.15,0.000383,0.55,287627,-5.825,0.411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
58,0.889,0.458,134.469,0.0964,0.000626,0.403,0.4,592417,-6.91,0.343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
59,0.866,0.232,109.825,0.059,0.000739,0.00141,0.308,438120,-5.671,0.227,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,0.193,366667,-7.725,0.176,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
64,0.721,0.119,130.699,0.0443,0.154,0.000203,0.389,308240,-7.256,0.749,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
65,0.599,0.201,112.657,0.0332,0.308,0.000333,0.393,486773,-7.337,0.344,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,0.264,305760,-6.195,0.21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,0.374,235960,-7.694,0.362,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
70,0.622,0.275,126.558,0.039,0.0566,0.0212,0.342,448333,-6.645,0.547,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
76,0.684,0.34,77.15,0.0308,0.323,0.0,0.36,342653,-6.457,0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
79,0.784,0.16,111.871,0.0269,0.026,0.00124,0.607,326013,-6.035,0.643,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
80,0.723,0.146,98.745,0.0286,0.0016,0.176,0.478,259369,-6.512,0.265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
81,0.59,0.104,124.635,0.0327,0.00182,0.00379,0.456,283733,-8.638,0.243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
98,0.949,0.218,100.346,0.0896,0.0214,0.00778,0.274,406307,-8.642,0.497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
99,0.612,0.103,155.961,0.0275,0.0188,1e-06,0.443,207120,-7.321,0.204,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
100,0.529,0.257,81.527,0.0275,0.17,4.27e-06,0.48,295480,-7.825,0.469,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
101,0.748,0.447,118.852,0.0363,0.127,0.0,0.5,250987,-9.072,0.514,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
103,0.491,0.114,79.954,0.0246,0.00693,0.00491,0.442,232120,-6.598,0.125,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
105,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,0.493,284907,-7.408,0.279,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
106,0.452,0.689,113.066,0.0307,0.0353,0.00228,0.367,520787,-10.422,0.189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
107,0.943,0.162,173.671,0.0669,0.0286,0.00401,0.249,233507,-5.188,0.458,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
108,0.552,0.0929,145.164,0.0258,0.028,1.36e-05,0.402,431333,-10.158,0.668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
109,0.576,0.276,179.014,0.0289,0.00766,0.0462,0.348,288787,-8.388,0.428,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
