,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,time_signature_1,time_signature_3,time_signature_4,time_signature_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,kmeans-3clusters
112,0.758,0.092,112.114,0.0297,0.000671,0.484,0.49,371413,-6.491,0.435,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
118,0.795,0.74,103.777,0.209,0.398,0.0,0.362,208408,-5.904,0.269,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
124,0.656,0.112,141.873,0.0411,0.0458,2.54e-06,0.537,232173,-5.863,0.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
144,0.794,0.349,146.074,0.0329,0.00841,0.00479,0.512,266973,-5.627,0.487,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
146,0.759,0.109,130.116,0.173,0.205,0.0,0.606,214307,-6.186,0.0899,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
149,0.893,0.158,130.515,0.0349,0.0822,0.102,0.607,296587,-9.468,0.447,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
152,0.739,0.106,132.41,0.0415,0.0211,0.00444,0.496,336000,-7.193,0.378,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
153,0.554,0.157,130.037,0.0301,0.0508,0.0,0.658,374093,-6.956,0.309,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
156,0.89,0.832,132.324,0.0615,0.2,0.0283,0.497,320373,-6.162,0.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
163,0.467,0.109,94.473,0.0274,0.0194,0.46,0.369,290147,-9.018,0.174,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
165,0.599,0.137,125.83,0.0286,0.0665,9.86e-06,0.428,301730,-2.135,0.134,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
166,0.88,0.0592,140.009,0.0359,0.00151,2.92e-05,0.496,297682,-2.242,0.148,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
167,0.796,0.0621,155.28,0.0896,0.00361,0.00143,0.336,353613,-10.845,0.417,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
168,0.556,0.125,103.122,0.0646,0.0838,1.59e-05,0.476,364493,-10.586,0.43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
173,0.647,0.0912,128.049,0.0466,0.0441,1.41e-06,0.641,261413,-8.619,0.251,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
174,0.564,0.114,134.355,0.0292,0.161,0.0,0.565,295533,-10.044,0.454,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
175,0.668,0.111,83.005,0.0377,0.00299,0.128,0.231,461480,-5.517,0.0688,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
176,0.855,0.292,91.744,0.0293,0.136,4.5e-05,0.473,237467,-6.221,0.521,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
182,0.873,0.123,84.786,0.0564,0.0654,0.0,0.421,202533,-4.343,0.629,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
183,0.854,0.242,125.984,0.0436,0.0178,0.0,0.529,176658,-5.29,0.654,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
191,0.754,0.0744,114.898,0.0367,0.0823,5.74e-05,0.52,272947,-5.792,0.521,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
198,0.895,0.154,139.831,0.246,0.0083,0.0,0.597,283653,-4.313,0.272,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
204,0.706,0.0875,119.944,0.0591,0.124,0.0,0.714,212013,-5.866,0.202,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
205,0.781,0.168,169.954,0.0961,0.134,0.0,0.567,178668,-3.376,0.394,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
207,0.625,0.103,173.944,0.0759,0.0167,2.7e-05,0.602,209655,-7.499,0.461,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
221,0.489,0.0969,119.058,0.0713,0.152,0.0216,0.433,204788,-8.546,0.285,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
224,0.722,0.22,93.344,0.16,0.227,3.87e-06,0.506,186400,-7.019,0.198,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
228,0.63,0.116,136.187,0.0439,0.132,3.01e-05,0.515,265053,-8.029,0.357,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
240,0.912,0.0923,90.045,0.0442,0.00158,0.000179,0.402,373899,-5.447,0.566,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
245,0.667,0.166,78.031,0.0509,0.0389,0.0136,0.571,235773,-8.365,0.439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
254,0.952,0.918,109.275,0.0723,6.28e-05,0.154,0.319,441467,-5.315,0.228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
255,0.988,0.451,101.559,0.232,0.000731,0.00411,0.322,214360,-4.074,0.277,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
265,0.572,0.156,109.01,0.0267,0.0333,0.0,0.583,227253,-10.064,0.268,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
271,0.499,0.102,120.003,0.0597,0.148,0.0,0.601,264832,-9.961,0.409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
277,0.725,0.0895,100.089,0.0284,0.00248,0.00748,0.496,253173,-5.433,0.244,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
284,0.897,0.518,133.712,0.125,2.21e-05,0.797,0.301,735000,-6.519,0.347,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
288,0.822,0.0774,74.028,0.033,0.053,2.79e-06,0.523,330718,-4.114,0.409,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
291,0.871,0.107,88.012,0.0311,0.000674,0.00144,0.566,284267,-4.833,0.41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
299,0.843,0.364,140.036,0.049,0.0491,0.0,0.663,195240,-3.672,0.375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
302,0.505,0.156,176.917,0.0328,0.00989,0.13,0.419,217680,-6.004,0.358,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
304,0.463,0.0742,114.891,0.0354,0.0116,9.65e-05,0.517,206493,-9.664,0.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
307,0.622,0.156,112.02,0.0282,0.0176,0.0,0.656,237147,-6.391,0.159,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
