,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,time_signature_1,time_signature_3,time_signature_4,time_signature_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,kmeans-3clusters
194,0.517,0.134,68.083,0.206,0.49,3.11e-05,0.338,268516,-8.08,0.103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
196,0.151,0.168,77.098,0.0416,0.887,0.576,0.226,274240,-19.977,0.142,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
199,0.594,0.111,116.009,0.0475,0.52,0.0,0.658,209987,-6.519,0.312,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
214,0.339,0.0812,127.961,0.148,0.836,7.43e-05,0.812,237456,-10.73,0.241,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
215,0.431,0.126,121.87,0.03,0.357,0.00165,0.546,255347,-8.636,0.15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
222,0.573,0.113,83.926,0.134,0.407,0.00249,0.574,198008,-8.809,0.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
225,0.535,0.0904,93.042,0.128,0.748,0.0,0.698,201030,-8.029,0.122,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232,0.285,0.146,101.24,0.0324,0.773,0.835,0.764,310000,-19.9,0.868,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
233,0.803,0.0592,136.057,0.0638,0.713,0.0,0.39,364973,-6.884,0.546,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
247,0.424,0.0876,175.905,0.061,0.752,0.0,0.435,191240,-7.367,0.475,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
256,0.319,0.106,156.172,0.0684,0.53,6.12e-06,0.624,210651,-9.035,0.377,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
266,0.519,0.0973,95.004,0.113,0.285,1.42e-06,0.68,211800,-11.125,0.238,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
267,0.501,0.305,158.348,0.0731,0.778,0.0,0.388,166200,-11.296,0.532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
272,0.532,0.0925,136.571,0.0286,0.432,6.25e-06,0.601,281613,-9.119,0.341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
279,0.523,0.0927,106.993,0.0312,0.727,0.0,0.662,208219,-9.087,0.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
287,0.663,0.121,119.911,0.234,0.688,0.0,0.78,255677,-6.161,0.145,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
296,0.378,0.143,119.962,0.282,0.475,4.63e-05,0.678,220000,-11.522,0.303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
303,0.00756,0.109,133.32,0.0382,0.941,0.00643,0.438,141133,-26.44,0.277,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
