,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,time_signature_1,time_signature_3,time_signature_4,time_signature_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,kmeans-3clusters
1,0.573,0.145,84.967,0.433,0.361,0.0,0.744,275294,-8.068,0.398,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
4,0.666,0.204,130.915,0.129,0.0528,0.00171,0.769,253533,-8.218,0.558,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,0.41,0.111,158.05,0.075,0.235,0.0,0.709,206582,-13.139,0.341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10,0.588,0.117,96.032,0.2,0.524,0.00033,0.882,229091,-9.368,0.651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
15,0.647,0.0604,124.018,0.131,0.608,0.0,0.839,243547,-7.624,0.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
16,0.755,0.5,88.165,0.286,0.413,0.0,0.685,210307,-4.216,0.477,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
30,0.604,0.105,92.079,0.0278,0.14,0.00129,0.642,348000,-9.663,0.609,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
31,0.739,0.139,98.091,0.207,0.541,0.0,0.664,284000,-7.207,0.438,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
33,0.723,0.757,121.919,0.0432,0.197,0.0,0.618,176080,-10.004,0.887,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
34,0.497,0.0504,95.818,0.105,0.41,0.0499,0.749,438493,-12.609,0.585,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
36,0.681,0.381,120.009,0.0309,0.17,0.144,0.756,233615,-5.649,0.577,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
38,0.689,0.336,120.017,0.037,0.192,0.0,0.74,362320,-6.043,0.58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
39,0.733,0.0907,133.87,0.136,0.0597,3.01e-06,0.765,232373,-7.145,0.16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
45,0.692,0.193,112.053,0.0276,0.363,0.000158,0.622,195467,-6.97,0.774,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
47,0.366,0.106,91.147,0.0312,0.273,9.04e-05,0.754,287440,-10.07,0.469,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,0.547,0.0921,92.997,0.122,0.0594,0.00227,0.786,232477,-10.114,0.807,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
49,0.882,0.281,107.932,0.0719,0.0674,2.3e-06,0.766,172467,-4.478,0.544,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
50,0.744,0.242,123.017,0.143,0.197,0.0,0.794,289213,-5.194,0.716,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
52,0.668,0.148,87.959,0.0793,0.522,0.0,0.621,255747,-7.146,0.663,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
60,0.74,0.343,155.005,0.32,0.74,1.45e-06,0.687,284373,-6.581,0.754,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
61,0.711,0.0582,106.43,0.217,0.234,0.0,0.543,270460,-4.511,0.638,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
62,0.386,0.119,107.756,0.426,0.226,0.0,0.538,310152,-14.142,0.381,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
66,0.915,0.129,91.023,0.255,0.044,0.0,0.675,288123,-4.121,0.758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
67,0.62,0.067,136.062,0.256,0.0709,0.0,0.778,287907,-6.937,0.361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
71,0.794,0.33,148.174,0.0307,0.0614,0.0367,0.733,348624,-10.023,0.931,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
72,0.609,0.111,175.924,0.507,0.101,0.0,0.679,186136,-7.751,0.524,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
73,0.821,0.377,102.965,0.19,0.0964,0.0,0.656,286276,-7.071,0.807,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
74,0.712,0.0463,169.944,0.263,0.0543,0.0,0.699,515294,-6.17,0.555,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
75,0.752,0.176,176.094,0.389,0.359,0.0,0.682,223636,-5.823,0.526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
