,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
55,0.59,0.0869,109.969,0.0484,0.0837,0.00821,0.324,337560,-6.94,0.22,0
56,0.788,0.0848,121.98,0.0381,0.15,0.000383,0.55,287627,-5.825,0.411,0
58,0.889,0.458,134.469,0.0964,0.000626,0.403,0.4,592417,-6.91,0.343,0
59,0.866,0.232,109.825,0.059,0.000739,0.00141,0.308,438120,-5.671,0.227,0
61,0.711,0.0582,106.43,0.217,0.234,0.0,0.543,270460,-4.511,0.638,0
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,0.193,366667,-7.725,0.176,0
64,0.721,0.119,130.699,0.0443,0.154,0.000203,0.389,308240,-7.256,0.749,0
65,0.599,0.201,112.657,0.0332,0.308,0.000333,0.393,486773,-7.337,0.344,0
66,0.915,0.129,91.023,0.255,0.044,0.0,0.675,288123,-4.121,0.758,0
67,0.62,0.067,136.062,0.256,0.0709,0.0,0.778,287907,-6.937,0.361,0
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,0.264,305760,-6.195,0.21,0
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,0.374,235960,-7.694,0.362,0
70,0.622,0.275,126.558,0.039,0.0566,0.0212,0.342,448333,-6.645,0.547,0
71,0.794,0.33,148.174,0.0307,0.0614,0.0367,0.733,348624,-10.023,0.931,0
72,0.609,0.111,175.924,0.507,0.101,0.0,0.679,186136,-7.751,0.524,0
73,0.821,0.377,102.965,0.19,0.0964,0.0,0.656,286276,-7.071,0.807,0
74,0.712,0.0463,169.944,0.263,0.0543,0.0,0.699,515294,-6.17,0.555,0
75,0.752,0.176,176.094,0.389,0.359,0.0,0.682,223636,-5.823,0.526,0
76,0.684,0.34,77.15,0.0308,0.323,0.0,0.36,342653,-6.457,0.2,0
78,0.722,0.11,104.665,0.0233,0.101,3.37e-06,0.686,281747,-7.094,0.904,0
79,0.784,0.16,111.871,0.0269,0.026,0.00124,0.607,326013,-6.035,0.643,0
80,0.723,0.146,98.745,0.0286,0.0016,0.176,0.478,259369,-6.512,0.265,0
81,0.59,0.104,124.635,0.0327,0.00182,0.00379,0.456,283733,-8.638,0.243,0
82,0.726,0.471,120.814,0.0371,0.379,2.58e-06,0.733,197160,-6.514,0.915,0
85,0.739,0.0883,110.027,0.316,0.107,0.0,0.657,272524,-8.509,0.406,0
87,0.596,0.0775,93.633,0.219,0.04,3.86e-05,0.666,177505,-7.334,0.508,0
92,0.726,0.707,139.978,0.0672,0.456,0.0,0.81,252335,-8.953,0.712,0
96,0.586,0.0535,114.243,0.0284,0.0983,0.581,0.632,342173,-11.333,0.89,0
98,0.949,0.218,100.346,0.0896,0.0214,0.00778,0.274,406307,-8.642,0.497,0
99,0.612,0.103,155.961,0.0275,0.0188,1e-06,0.443,207120,-7.321,0.204,0
100,0.529,0.257,81.527,0.0275,0.17,4.27e-06,0.48,295480,-7.825,0.469,0
101,0.748,0.447,118.852,0.0363,0.127,0.0,0.5,250987,-9.072,0.514,0
102,0.396,0.248,126.091,0.0371,0.107,0.0,0.591,207693,-14.753,0.781,0
103,0.491,0.114,79.954,0.0246,0.00693,0.00491,0.442,232120,-6.598,0.125,0
104,0.697,0.133,116.109,0.0277,0.0664,2.28e-05,0.741,160133,-7.028,0.774,0
105,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,0.493,284907,-7.408,0.279,0
106,0.452,0.689,113.066,0.0307,0.0353,0.00228,0.367,520787,-10.422,0.189,0
107,0.943,0.162,173.671,0.0669,0.0286,0.00401,0.249,233507,-5.188,0.458,0
108,0.552,0.0929,145.164,0.0258,0.028,1.36e-05,0.402,431333,-10.158,0.668,0
109,0.576,0.276,179.014,0.0289,0.00766,0.0462,0.348,288787,-8.388,0.428,0
110,0.916,0.161,144.262,0.0482,0.0856,9.27e-05,0.592,249493,-6.9,0.886,0
112,0.758,0.092,112.114,0.0297,0.000671,0.484,0.49,371413,-6.491,0.435,0
115,0.813,0.122,104.996,0.122,0.197,0.00233,0.774,242560,-5.569,0.351,0
117,0.886,0.212,89.419,0.314,0.0279,0.0,0.581,201513,-4.017,0.667,0
118,0.795,0.74,103.777,0.209,0.398,0.0,0.362,208408,-5.904,0.269,0
119,0.666,0.082,130.119,0.291,0.325,0.0,0.781,276173,-6.56,0.526,0
120,0.934,0.111,108.678,0.43,0.371,0.0,0.467,284729,-5.335,0.239,0
121,0.564,0.138,140.006,0.308,0.0807,0.0,0.761,220144,-8.14,0.508,0
124,0.656,0.112,141.873,0.0411,0.0458,2.54e-06,0.537,232173,-5.863,0.45,0
131,0.657,0.315,119.955,0.0749,0.246,0.0,0.664,210179,-5.6,0.41,0
132,0.59,0.1,109.997,0.0577,0.291,0.0,0.759,306909,-8.055,0.445,0
134,0.608,0.0533,112.367,0.0345,0.352,0.0,0.552,162373,-9.786,0.637,0
137,0.38,0.0741,132.885,0.0251,0.269,8.36e-06,0.588,280627,-11.879,0.502,0
138,0.767,0.136,100.004,0.0373,0.0626,0.0,0.647,203547,-6.334,0.729,0
139,0.454,0.236,109.98,0.0288,0.231,6.82e-06,0.768,190240,-11.953,0.913,0
141,0.933,0.186,140.011,0.396,0.152,0.0,0.816,290375,-5.967,0.737,0
142,0.718,0.064,129.037,0.042,0.0684,0.0,0.706,192240,-6.207,0.786,0
143,0.689,0.0865,98.097,0.0266,0.352,8.51e-05,0.552,251053,-6.475,0.652,0
144,0.794,0.349,146.074,0.0329,0.00841,0.00479,0.512,266973,-5.627,0.487,0
146,0.759,0.109,130.116,0.173,0.205,0.0,0.606,214307,-6.186,0.0899,0
147,0.537,0.172,121.932,0.152,0.117,6.23e-06,0.755,145893,-8.461,0.327,0
149,0.893,0.158,130.515,0.0349,0.0822,0.102,0.607,296587,-9.468,0.447,0
150,0.623,0.151,178.947,0.048,0.354,0.0508,0.631,237333,-8.658,0.557,0
151,0.59,0.339,99.755,0.0257,0.172,0.00321,0.609,279347,-6.306,0.693,0
152,0.739,0.106,132.41,0.0415,0.0211,0.00444,0.496,336000,-7.193,0.378,0
153,0.554,0.157,130.037,0.0301,0.0508,0.0,0.658,374093,-6.956,0.309,0
154,0.832,0.0572,115.977,0.0309,0.00576,0.00696,0.755,238080,-7.47,0.871,0
155,0.943,0.328,134.241,0.0363,0.00297,0.00563,0.621,252360,-3.431,0.903,0
156,0.89,0.832,132.324,0.0615,0.2,0.0283,0.497,320373,-6.162,0.57,0
157,0.89,0.136,120.036,0.253,0.44,0.0,0.867,278742,-3.197,0.527,0
158,0.746,0.101,136.04,0.137,0.164,0.0,0.799,248533,-3.968,0.381,0
159,0.638,0.0999,169.999,0.115,0.385,1.44e-05,0.754,198187,-7.382,0.539,0
160,0.703,0.0583,157.034,0.0462,0.213,0.0,0.689,185000,-5.439,0.71,0
161,0.492,0.128,120.151,0.0276,0.0644,0.00428,0.828,257800,-9.744,0.789,0
162,0.882,0.065,95.083,0.0323,0.259,0.0,0.628,184413,-5.024,0.853,0
163,0.467,0.109,94.473,0.0274,0.0194,0.46,0.369,290147,-9.018,0.174,0
164,0.365,0.132,98.53,0.0462,0.159,9.28e-06,0.898,226240,-10.452,0.563,0
165,0.599,0.137,125.83,0.0286,0.0665,9.86e-06,0.428,301730,-2.135,0.134,0
166,0.88,0.0592,140.009,0.0359,0.00151,2.92e-05,0.496,297682,-2.242,0.148,0
167,0.796,0.0621,155.28,0.0896,0.00361,0.00143,0.336,353613,-10.845,0.417,0
168,0.556,0.125,103.122,0.0646,0.0838,1.59e-05,0.476,364493,-10.586,0.43,0
169,0.755,0.142,80.295,0.372,0.00665,0.0,0.539,210080,-6.018,0.887,0
173,0.647,0.0912,128.049,0.0466,0.0441,1.41e-06,0.641,261413,-8.619,0.251,0
174,0.564,0.114,134.355,0.0292,0.161,0.0,0.565,295533,-10.044,0.454,0
175,0.668,0.111,83.005,0.0377,0.00299,0.128,0.231,461480,-5.517,0.0688,0
176,0.855,0.292,91.744,0.0293,0.136,4.5e-05,0.473,237467,-6.221,0.521,0
182,0.873,0.123,84.786,0.0564,0.0654,0.0,0.421,202533,-4.343,0.629,0
183,0.854,0.242,125.984,0.0436,0.0178,0.0,0.529,176658,-5.29,0.654,0
186,0.806,0.328,184.153,0.6,0.28,0.0,0.653,261250,-5.344,0.515,0
187,0.592,0.12,100.009,0.29,0.235,0.0,0.86,195000,-8.791,0.5,0
190,0.62,0.165,120.069,0.0422,0.325,0.0,0.71,295573,-11.62,0.786,0
191,0.754,0.0744,114.898,0.0367,0.0823,5.74e-05,0.52,272947,-5.792,0.521,0
192,0.874,0.0952,107.127,0.317,0.316,0.0,0.736,195840,-5.451,0.613,0
193,0.816,0.988,93.85,0.0408,0.199,4.86e-06,0.633,254600,-11.223,0.606,0
195,0.511,0.358,114.007,0.0496,0.223,0.0,0.803,193684,-7.585,0.24,0
197,0.669,0.237,112.238,0.0738,0.00286,0.0,0.908,290320,-2.827,0.662,0
198,0.895,0.154,139.831,0.246,0.0083,0.0,0.597,283653,-4.313,0.272,0
202,0.778,0.247,146.921,0.393,0.195,0.0,0.735,182857,-4.951,0.281,0
203,0.658,0.141,172.841,0.387,0.22,0.0,0.719,172023,-8.61,0.616,0
204,0.706,0.0875,119.944,0.0591,0.124,0.0,0.714,212013,-5.866,0.202,0
205,0.781,0.168,169.954,0.0961,0.134,0.0,0.567,178668,-3.376,0.394,0
207,0.625,0.103,173.944,0.0759,0.0167,2.7e-05,0.602,209655,-7.499,0.461,0
209,0.853,0.155,93.572,0.42,0.119,0.0,0.571,162787,-4.929,0.213,0
210,0.772,0.659,93.51,0.134,0.0678,0.0,0.7,178267,-3.171,0.58,0
211,0.607,0.0653,85.165,0.238,0.195,0.0,0.693,221860,-8.224,0.242,0
212,0.839,0.11,92.385,0.33,0.287,0.0,0.741,247269,-7.022,0.575,0
213,0.793,0.138,141.046,0.121,0.393,0.0,0.79,210237,-6.544,0.496,0
216,0.704,0.352,91.892,0.158,0.278,0.0,0.615,244931,-7.221,0.332,0
217,0.701,0.107,160.021,0.39,0.238,0.0,0.667,229480,-7.24,0.338,0
218,0.601,0.0918,173.913,0.427,0.123,0.0,0.64,256552,-7.094,0.189,0
219,0.792,0.0666,89.904,0.313,0.172,0.0,0.825,229333,-5.847,0.453,0
220,0.743,0.339,90.037,0.279,0.204,0.0,0.788,239295,-5.953,0.501,0
221,0.489,0.0969,119.058,0.0713,0.152,0.0216,0.433,204788,-8.546,0.285,0
223,0.687,0.0867,147.993,0.184,0.396,0.0,0.701,231360,-6.63,0.703,0
224,0.722,0.22,93.344,0.16,0.227,3.87e-06,0.506,186400,-7.019,0.198,0
227,0.638,0.44,141.967,0.0906,0.297,1.41e-06,0.619,186985,-5.754,0.36,0
228,0.63,0.116,136.187,0.0439,0.132,3.01e-05,0.515,265053,-8.029,0.357,0
229,0.664,0.173,125.037,0.033,0.41,5.45e-05,0.673,223800,-6.838,0.649,0
230,0.858,0.322,114.992,0.0786,0.0682,0.0,0.758,271262,-5.854,0.746,0
231,0.617,0.721,128.022,0.422,0.046,0.0,0.896,237240,-4.768,0.213,0
234,0.846,0.261,134.886,0.0302,0.0281,0.0,0.597,200867,-7.321,0.829,0
235,0.657,0.0845,173.17,0.216,0.119,0.0,0.673,216821,-4.424,0.328,0
236,0.81,0.123,106.096,0.0935,0.323,0.0,0.739,195000,-4.62,0.166,0
237,0.803,0.121,157.02,0.144,0.276,0.0,0.804,247777,-6.755,0.84,0
238,0.669,0.0852,87.782,0.378,0.198,0.0,0.763,226364,-6.631,0.464,0
239,0.733,0.195,89.034,0.299,0.163,0.0,0.786,165468,-4.219,0.376,0
240,0.912,0.0923,90.045,0.0442,0.00158,0.000179,0.402,373899,-5.447,0.566,0
241,0.769,0.299,174.203,0.291,0.13,0.0,0.74,176552,-3.777,0.432,0
244,0.657,0.131,88.542,0.164,0.26,0.0,0.782,170508,-7.561,0.568,0
245,0.667,0.166,78.031,0.0509,0.0389,0.0136,0.571,235773,-8.365,0.439,0
248,0.545,0.097,149.779,0.324,0.118,0.0,0.642,213293,-6.405,0.412,0
249,0.883,0.12,176.039,0.431,0.144,0.0,0.564,183320,-7.284,0.566,0
250,0.558,0.158,85.917,0.263,0.0315,0.00116,0.644,186977,-7.167,0.19,0
251,0.685,0.109,122.831,0.339,0.147,0.00455,0.594,186347,-9.015,0.555,0
252,0.805,0.35,140.012,0.0831,0.044,0.000139,0.794,186000,-5.593,0.669,0
254,0.952,0.918,109.275,0.0723,6.28e-05,0.154,0.319,441467,-5.315,0.228,0
255,0.988,0.451,101.559,0.232,0.000731,0.00411,0.322,214360,-4.074,0.277,0
260,0.745,0.165,100.064,0.231,0.303,0.0,0.806,177600,-6.673,0.747,0
261,0.774,0.293,71.902,0.0341,0.262,0.0,0.567,208507,-5.14,0.608,0
263,0.506,0.0876,130.025,0.143,0.134,0.00518,0.919,231133,-9.68,0.609,0
264,0.655,0.257,115.007,0.0411,0.0984,0.0293,0.807,206609,-8.067,0.271,0
265,0.572,0.156,109.01,0.0267,0.0333,0.0,0.583,227253,-10.064,0.268,0
268,0.8,0.359,134.002,0.0504,0.127,0.0,0.714,211560,-4.808,0.589,0
269,0.794,0.261,98.123,0.335,0.133,0.0,0.68,200842,-6.545,0.402,0
271,0.499,0.102,120.003,0.0597,0.148,0.0,0.601,264832,-9.961,0.409,0
273,0.7,0.205,119.796,0.0605,0.0407,2.34e-06,0.689,172000,-6.824,0.625,0
274,0.475,0.12,75.014,0.0298,0.192,1.28e-05,0.657,357133,-10.436,0.494,0
277,0.725,0.0895,100.089,0.0284,0.00248,0.00748,0.496,253173,-5.433,0.244,0
280,0.807,0.0504,155.397,0.0725,0.251,0.0,0.525,215933,-6.366,0.741,0
281,0.658,0.0685,153.769,0.115,0.358,0.0,0.742,213421,-6.289,0.609,0
282,0.707,0.122,142.65,0.398,0.0508,0.0,0.632,177907,-6.081,0.541,0
283,0.885,0.118,131.923,0.353,0.302,0.0,0.745,350174,-3.762,0.366,0
284,0.897,0.518,133.712,0.125,2.21e-05,0.797,0.301,735000,-6.519,0.347,0
288,0.822,0.0774,74.028,0.033,0.053,2.79e-06,0.523,330718,-4.114,0.409,0
289,0.456,0.196,97.518,0.192,0.0545,0.000459,0.778,146465,-10.165,0.119,0
291,0.871,0.107,88.012,0.0311,0.000674,0.00144,0.566,284267,-4.833,0.41,0
292,0.935,0.0854,128.967,0.0356,0.000473,0.00187,0.61,196107,-4.444,0.656,0
293,0.554,0.129,140.045,0.0927,0.045,0.0,0.697,212664,-9.387,0.432,0
295,0.672,0.611,146.161,0.419,0.27,0.0,0.653,172385,-6.408,0.296,0
297,0.762,0.0982,114.04,0.0915,0.129,0.0,0.784,244360,-7.323,0.366,0
299,0.843,0.364,140.036,0.049,0.0491,0.0,0.663,195240,-3.672,0.375,0
300,0.737,0.0992,121.952,0.0375,0.00698,0.000334,0.796,212977,-8.429,0.868,0
302,0.505,0.156,176.917,0.0328,0.00989,0.13,0.419,217680,-6.004,0.358,0
304,0.463,0.0742,114.891,0.0354,0.0116,9.65e-05,0.517,206493,-9.664,0.49,0
305,0.79,0.201,95.549,0.261,0.0449,3.05e-06,0.674,231828,-5.85,0.408,0
307,0.622,0.156,112.02,0.0282,0.0176,0.0,0.656,237147,-6.391,0.159,0
310,0.726,0.0886,74.969,0.261,0.302,0.0,0.777,198613,-7.841,0.798,0
311,0.919,0.0716,164.998,0.0368,0.00287,2.53e-06,0.482,190802,-4.499,0.495,0
312,0.635,0.0784,172.378,0.223,0.46,6.23e-06,0.482,195440,-7.735,0.877,0
313,0.617,0.0835,168.943,0.0569,0.103,0.0,0.625,245556,-5.634,0.679,0
314,0.48,0.0571,169.964,0.336,0.222,0.000763,0.735,208000,-10.042,0.353,0
316,0.667,0.0674,89.029,0.0551,0.169,0.0,0.718,161882,-5.008,0.48,0
317,0.702,0.338,199.739,0.275,0.251,0.0,0.493,138053,-6.457,0.342,0
318,0.627,0.126,156.112,0.174,0.247,0.0,0.681,188011,-5.799,0.59,0
