,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
0,0.238,0.109,81.264,0.0326,0.0421,2.73e-05,0.289,282493,-12.244,0.187,0
2,0.734,0.22,120.55,0.0374,0.00079,0.00554,0.461,357933,-9.379,0.423,0
3,0.551,0.127,118.657,0.0331,0.00606,0.000256,0.491,259867,-9.652,0.349,0
4,0.666,0.204,130.915,0.129,0.0528,0.00171,0.769,253533,-8.218,0.558,0
5,0.656,0.139,153.747,0.0319,0.0431,0.000161,0.353,245627,-5.712,0.195,0
6,0.41,0.111,158.05,0.075,0.235,0.0,0.709,206582,-13.139,0.341,0
7,0.544,0.11,127.284,0.0364,0.293,1.11e-05,0.321,398267,-7.179,0.283,0
8,0.412,0.0644,132.986,0.0316,0.188,0.0339,0.32,396467,-12.75,0.282,0
9,0.959,0.161,154.221,0.0908,0.0263,0.000148,0.314,309640,-4.657,0.492,0
13,0.441,0.362,75.221,0.0248,0.232,0.149,0.521,511013,-11.176,0.238,0
14,0.721,0.391,97.578,0.0254,0.00348,0.0113,0.521,328427,-7.699,0.611,0
17,0.667,0.258,128.459,0.1,0.342,0.0,0.53,211385,-7.055,0.135,0
20,0.759,0.231,179.904,0.0431,0.0555,0.0,0.263,284496,-7.288,0.429,0
24,0.309,0.134,127.155,0.0299,0.153,0.22,0.479,379213,-14.751,0.182,0
25,0.591,0.0891,98.51,0.0248,0.0248,0.00275,0.45,231987,-5.551,0.283,0
26,0.852,0.0624,117.418,0.0511,0.0119,0.076,0.279,558933,-7.838,0.438,0
27,0.909,0.125,173.674,0.0574,0.135,0.0336,0.307,366136,-7.08,0.443,0
28,0.656,0.0892,139.352,0.0302,0.0105,0.0,0.282,251867,-6.557,0.242,0
30,0.604,0.105,92.079,0.0278,0.14,0.00129,0.642,348000,-9.663,0.609,0
33,0.723,0.757,121.919,0.0432,0.197,0.0,0.618,176080,-10.004,0.887,0
35,0.753,0.115,172.994,0.0476,0.019,0.000664,0.43,264960,-7.309,0.455,0
36,0.681,0.381,120.009,0.0309,0.17,0.144,0.756,233615,-5.649,0.577,0
37,0.763,0.238,137.967,0.028,0.000795,1.86e-05,0.534,192160,-6.064,0.576,0
38,0.689,0.336,120.017,0.037,0.192,0.0,0.74,362320,-6.043,0.58,0
39,0.733,0.0907,133.87,0.136,0.0597,3.01e-06,0.765,232373,-7.145,0.16,0
40,0.913,0.347,119.992,0.0466,0.0263,1.35e-05,0.551,224493,-4.063,0.544,0
45,0.692,0.193,112.053,0.0276,0.363,0.000158,0.622,195467,-6.97,0.774,0
48,0.547,0.0921,92.997,0.122,0.0594,0.00227,0.786,232477,-10.114,0.807,0
49,0.882,0.281,107.932,0.0719,0.0674,2.3e-06,0.766,172467,-4.478,0.544,0
50,0.744,0.242,123.017,0.143,0.197,0.0,0.794,289213,-5.194,0.716,0
51,0.605,0.103,103.929,0.0294,0.0047,0.00144,0.282,403453,-4.916,0.0783,0
54,0.875,0.402,75.009,0.0422,0.00752,0.000461,0.284,340907,-6.069,0.595,0
