,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
133,Walking in Memphis,Marc Cohn,Marc Cohn,1991-02-08,252613,71,5fgkjhICZnqFctrV0AyuQD,1
135,We'll Meet Again,Silver Memories: Our Vera,Vera Lynn,2016-03-18,183893,64,6WdcvzQADmrL8nucimUV6r,1
136,Ain't No Sunshine,Just As I Am,Bill Withers,1971-05-01,125093,77,1k1Bqnv2R0uJXQN4u6LKYt,1
140,Nie ma życia,Nadciśnienie,Paluch,2020-11-27,189264,27,3SUZOgGWN3Y28fw9NYo6au,1
145,Na Spokojnie,10 / 29,Paluch,2016-03-04,215467,34,29PtsEAg5BoUKwcpTFWZD2,1
148,Peeling,Czerwony Dywan,Paluch,2018-12-07,263399,56,0W2gYaPROLLYBvYxckrfQT,1
170,Jazz,Stowarzyszenie umarłych raperów,Przyłu & VBS,2019-04-12,312115,45,2RtWmKQPU9MfSCnKr5cc2R,1
171,Prędkość,W drodze po szczęście,O.S.T.R.,2018-02-26,214701,35,5jTMBN2FMQ8WrHPWVeHxJg,1
172,Behind Blue Eyes,Results May Vary,Limp Bizkit,2003-01-01,269973,73,1MTQHCpraD4S8g5PAFKzoj,1
177,Solitude,Master of Reality (2009 Remastered Version),Black Sabbath,1971-07-21,301640,52,0y1eaipbcP50xp6WLgJtuv,1
178,You Never Can Tell,Pulp Fiction (Music From The Motion Picture),Various Artists,1994-09-27,161453,45,7p6ZGUXjUe0ctAu5RNnghu,1
179,Moja Gwardia,Moja Gwardia,KęKę,2021-01-20,204360,32,1Qw87N5N9KHKZosT0wy5ug,1
180,Ukryty w Mieście Krzyk,Muzyka Klasyczna,Pezet,2002-04-05,201600,0,6gRELaYf0hDk1WyZVAW1MX,1
181,Powiedział mi ktoś,Wszystko co złe,Sarius,2018-08-31,182653,45,0Xe2cPeOZawmqdJRNywx5f,1
184,Nadal jestem tu,Nadal jestem tu,KęKę,2021-02-17,196106,25,4hJip22FGywDqWCIV24sMS,1
185,Nie raj,Wiedza o społeczeństwie,Lao Che,2018-02-16,306093,44,1LPzBeE0fNQkklHQayI3dw,1
188,List w Butelce,Złota Owca,Paluch,2017-11-24,219057,43,6RWlszoXD9n1DzSFkEErTm,1
189,You Never Can Tell,St. Louis To Liverpool,Chuck Berry,1964-11-01,161906,70,6FT83pFXKhDlXDsNJFAHWz,1
194,So wie du bist,Mama,MoTrip,2015-06-19,268515,64,12SH8NE1e17yItgsb2gitp,1
196,I Still Can't Sleep / The Cannot Touch Her (Betsy's Theme),Taxi Driver,Bernard Herrmann,1976,274240,49,45dFVMC4gijvG7lw3yNnD8,1
