,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
194,0.517,0.134,68.083,0.206,0.49,3.11e-05,0.338,268516,-8.08,0.103,1
196,0.151,0.168,77.098,0.0416,0.887,0.576,0.226,274240,-19.977,0.142,1
199,0.594,0.111,116.009,0.0475,0.52,0.0,0.658,209987,-6.519,0.312,1
200,0.528,0.361,175.242,0.446,0.64,0.0,0.505,232330,-7.722,0.66,1
201,0.773,0.114,86.229,0.369,0.46,0.0,0.483,237868,-8.959,0.513,1
206,0.386,0.138,119.987,0.145,0.274,0.0,0.818,224893,-10.912,0.682,1
208,0.796,0.109,84.787,0.419,0.645,0.0,0.55,211147,-6.917,0.442,1
214,0.339,0.0812,127.961,0.148,0.836,7.43e-05,0.812,237456,-10.73,0.241,1
215,0.431,0.126,121.87,0.03,0.357,0.00165,0.546,255347,-8.636,0.15,1
222,0.573,0.113,83.926,0.134,0.407,0.00249,0.574,198008,-8.809,0.17,1
225,0.535,0.0904,93.042,0.128,0.748,0.0,0.698,201030,-8.029,0.122,1
226,0.779,0.345,79.847,0.439,0.391,0.0,0.688,271740,-7.267,0.607,1
232,0.285,0.146,101.24,0.0324,0.773,0.835,0.764,310000,-19.9,0.868,1
233,0.803,0.0592,136.057,0.0638,0.713,0.0,0.39,364973,-6.884,0.546,1
242,0.54,0.59,142.109,0.434,0.519,0.0,0.828,159813,-5.939,0.412,1
243,0.457,0.126,127.99,0.125,0.468,0.546,0.831,158106,-8.844,0.559,1
246,0.603,0.135,125.984,0.239,0.353,0.0,0.744,340107,-8.77,0.215,1
247,0.424,0.0876,175.905,0.061,0.752,0.0,0.435,191240,-7.367,0.475,1
253,0.694,0.208,89.978,0.291,0.412,0.0,0.698,206869,-7.766,0.414,1
256,0.319,0.106,156.172,0.0684,0.53,6.12e-06,0.624,210651,-9.035,0.377,1
257,0.711,0.0821,150.97,0.266,0.423,0.0,0.693,156013,-6.126,0.619,1
258,0.608,0.0761,102.992,0.0706,0.454,0.0,0.825,233000,-6.992,0.451,1
259,0.524,0.114,78.485,0.32,0.375,0.0,0.593,184293,-9.032,0.33,1
262,0.632,0.177,89.106,0.224,0.624,0.0,0.747,189614,-8.091,0.518,1
266,0.519,0.0973,95.004,0.113,0.285,1.42e-06,0.68,211800,-11.125,0.238,1
267,0.501,0.305,158.348,0.0731,0.778,0.0,0.388,166200,-11.296,0.532,1
270,0.459,0.115,189.88,0.171,0.475,0.0,0.545,247579,-10.349,0.573,1
272,0.532,0.0925,136.571,0.0286,0.432,6.25e-06,0.601,281613,-9.119,0.341,1
275,0.551,0.135,129.568,0.132,0.451,0.0,0.595,255720,-8.273,0.468,1
276,0.574,0.134,139.949,0.17,0.427,0.000103,0.749,223907,-8.976,0.711,1
278,0.611,0.354,148.0,0.243,0.637,0.0,0.675,189240,-7.215,0.741,1
279,0.523,0.0927,106.993,0.0312,0.727,0.0,0.662,208219,-9.087,0.39,1
285,0.582,0.0997,90.048,0.178,0.32,2.95e-05,0.687,161193,-7.334,0.514,1
286,0.651,0.0848,144.02,0.0992,0.661,0.0,0.764,232270,-4.695,0.761,1
287,0.663,0.121,119.911,0.234,0.688,0.0,0.78,255677,-6.161,0.145,1
290,0.808,0.115,176.141,0.462,0.606,0.000144,0.629,171357,-6.96,0.61,1
294,0.542,0.302,145.975,0.356,0.383,0.0,0.799,279200,-7.383,0.671,1
296,0.378,0.143,119.962,0.282,0.475,4.63e-05,0.678,220000,-11.522,0.303,1
298,0.707,0.0742,127.969,0.0828,0.536,0.0,0.753,247280,-6.527,0.9,1
301,0.893,0.0569,92.171,0.376,0.645,0.0,0.622,197040,-6.784,0.511,1
303,0.00756,0.109,133.32,0.0382,0.941,0.00643,0.438,141133,-26.44,0.277,1
306,0.684,0.127,138.913,0.264,0.569,0.0,0.529,277260,-8.839,0.446,1
308,0.668,0.441,80.189,0.312,0.437,0.0,0.638,280947,-6.07,0.411,1
309,0.745,0.105,88.015,0.163,0.495,0.0102,0.83,273668,-8.34,0.498,1
315,0.493,0.0927,112.97,0.344,0.492,0.0,0.841,192040,-9.018,0.682,1
