,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
83,0.941,0.524,189.572,0.161,4.39e-05,0.302,0.179,399647,-6.213,0.161,1
84,0.915,0.291,164.966,0.0953,0.051,0.000495,0.507,211720,-4.579,0.61,1
85,0.552,0.0929,145.164,0.0258,0.028,1.36e-05,0.402,431333,-10.158,0.668,1
88,0.849,0.0414,124.631,0.0452,0.641,7.74e-06,0.482,155227,-9.198,0.937,1
91,0.576,0.276,179.014,0.0289,0.00766,0.0462,0.348,288787,-8.388,0.428,1
92,0.492,0.128,120.151,0.0276,0.0644,0.00428,0.828,257800,-9.744,0.789,1
93,0.67,0.0451,151.553,0.0496,0.009,0.000822,0.545,270213,-8.81,0.481,1
94,0.604,0.105,92.079,0.0278,0.14,0.00129,0.642,348000,-9.663,0.609,1
95,0.804,0.0771,131.656,0.0337,0.000826,0.00997,0.593,247175,-5.228,0.67,1
96,0.795,0.399,158.691,0.0926,0.0493,0.00244,0.464,202267,-9.267,0.612,1
97,0.863,0.128,136.302,0.0338,0.0383,0.0317,0.723,222813,-7.89,0.931,1
98,0.964,0.372,122.807,0.0553,0.0528,4.84e-06,0.53,223147,-2.571,0.823,1
99,0.835,0.297,108.003,0.0411,0.00546,0.00538,0.677,240333,-7.627,0.689,1
100,0.913,0.347,119.992,0.0466,0.0263,1.35e-05,0.551,224493,-4.063,0.544,1
103,0.564,0.114,134.355,0.0292,0.161,0.0,0.565,295533,-10.044,0.454,1
105,0.749,0.0649,154.824,0.035,0.022,0.000111,0.416,316473,-7.554,0.403,1
106,0.557,0.127,159.018,0.0355,0.123,4.6e-06,0.193,366667,-7.725,0.176,1
107,0.722,0.11,104.665,0.0233,0.101,3.37e-06,0.686,281747,-7.094,0.904,1
108,0.916,0.161,144.262,0.0482,0.0856,9.27e-05,0.592,249493,-6.9,0.886,1
110,0.904,0.14,176.808,0.179,0.356,0.121,0.504,183440,-6.863,0.772,1
112,0.952,0.142,100.271,0.0843,0.0169,0.0111,0.273,405640,-8.762,0.472,1
113,0.823,0.155,89.939,0.0407,0.0117,7.79e-05,0.292,275395,-6.763,0.244,1
114,0.712,0.103,113.805,0.0476,0.429,0.0,0.671,248440,-7.815,0.462,1
116,0.758,0.092,112.114,0.0297,0.000671,0.484,0.49,371413,-6.491,0.435,1
119,0.777,0.124,76.329,0.0354,0.0999,3.28e-06,0.403,240933,-6.416,0.149,1
121,0.852,0.0723,128.373,0.038,0.214,7.36e-05,0.768,271240,-6.215,0.867,1
