,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
0,0.586,0.0535,114.243,0.0284,0.0983,0.581,0.632,342173,-11.333,0.89,1
4,0.794,0.33,148.174,0.0307,0.0614,0.0367,0.733,348624,-10.023,0.931,1
5,0.949,0.218,100.346,0.0896,0.0214,0.00778,0.274,406307,-8.642,0.497,1
6,0.601,0.249,125.619,0.0486,0.00853,0.000187,0.482,252493,-12.846,0.774,1
7,0.88,0.319,100.457,0.0532,0.00582,0.000508,0.403,399693,-5.872,0.235,1
8,0.843,0.0608,117.662,0.0616,0.0628,0.000827,0.529,310333,-6.908,0.188,1
9,0.572,0.116,124.172,0.0339,0.00191,0.00243,0.437,284800,-8.648,0.239,1
10,0.588,0.156,103.773,0.0311,0.169,0.00204,0.268,388613,-4.134,0.0772,1
11,0.612,0.103,155.961,0.0275,0.0188,1e-06,0.443,207120,-7.321,0.204,1
12,0.656,0.139,153.747,0.0319,0.0431,0.000161,0.353,245627,-5.712,0.195,1
15,0.898,0.217,90.703,0.045,0.207,6.64e-05,0.39,270160,-4.089,0.204,1
17,0.662,0.105,83.643,0.0297,0.0186,0.309,0.249,536960,-8.305,0.216,1
18,0.866,0.808,180.635,0.0488,0.107,0.0,0.288,275760,-4.618,0.512,1
19,0.529,0.257,81.527,0.0275,0.17,4.27e-06,0.48,295480,-7.825,0.469,1
20,0.656,0.0892,139.352,0.0302,0.0105,0.0,0.282,251867,-6.557,0.242,1
21,0.699,0.854,110.172,0.0353,0.219,0.0,0.506,225173,-5.414,0.324,1
23,0.739,0.106,132.41,0.0415,0.0211,0.00444,0.496,336000,-7.193,0.378,1
24,0.901,0.128,125.148,0.0526,0.141,0.0675,0.449,356400,-7.711,0.696,1
25,0.858,0.262,132.718,0.0661,0.159,0.0,0.498,241893,-5.259,0.778,1
26,0.599,0.0873,108.873,0.0328,0.132,0.000311,0.817,245640,-9.249,0.548,1
27,0.857,0.187,146.084,0.0461,0.0604,9.42e-05,0.372,312400,-7.816,0.389,1
28,0.748,0.447,118.852,0.0363,0.127,0.0,0.5,250987,-9.072,0.514,1
29,0.852,0.0723,128.374,0.038,0.213,7.45e-05,0.768,271240,-6.215,0.867,1
30,0.821,0.618,120.737,0.0389,0.551,5.68e-06,0.716,197867,-4.204,0.931,1
31,0.913,0.156,115.728,0.133,0.061,0.00158,0.574,208400,-4.793,0.423,1
34,0.801,0.0825,133.769,0.0514,0.123,0.0,0.651,200480,-7.34,0.776,1
35,0.508,0.0575,147.125,0.027,0.00574,0.000494,0.579,391376,-9.484,0.609,1
36,0.889,0.733,134.88,0.0546,0.0947,1.62e-06,0.498,283360,-5.413,0.696,1
37,0.622,0.0892,126.844,0.0336,0.213,4.45e-05,0.394,221427,-8.258,0.342,1
38,0.902,0.287,115.669,0.0665,0.577,0.297,0.404,423840,-3.88,0.497,1
39,0.663,0.0734,75.14,0.0292,0.425,1.07e-06,0.532,159347,-5.886,0.756,1
40,0.748,0.0477,134.001,0.361,0.0384,4.1e-06,0.618,191500,-8.905,0.662,1
41,0.868,0.776,156.295,0.17,0.0475,0.000176,0.559,209413,-5.276,0.609,1
46,0.602,0.282,117.967,0.0268,0.0804,0.00771,0.667,305320,-8.307,0.778,1
47,0.9,0.292,90.591,0.0691,0.0421,4.57e-05,0.546,215933,-6.728,0.447,1
49,0.763,0.119,123.539,0.0391,0.0542,0.0,0.466,204800,-7.748,0.473,1
50,0.709,0.368,118.878,0.0294,0.0288,1.27e-06,0.54,209760,-5.539,0.499,1
51,0.97,0.0942,101.603,0.0435,0.0276,0.0,0.383,313926,-5.638,0.62,1
52,0.491,0.114,79.954,0.0246,0.00693,0.00491,0.442,232120,-6.598,0.125,1
53,0.734,0.22,120.55,0.0374,0.00079,0.00554,0.461,357933,-9.379,0.423,1
55,0.71,0.344,109.689,0.0392,0.443,0.0215,0.795,288667,-4.746,0.845,1
56,0.605,0.0863,97.798,0.0255,0.181,0.000331,0.596,283800,-12.145,0.886,1
57,0.697,0.133,116.109,0.0277,0.0664,2.28e-05,0.741,160133,-7.028,0.774,1
59,0.918,0.126,172.427,0.0959,0.405,0.00033,0.462,249960,-8.507,0.802,1
60,0.667,0.074,134.219,0.0371,0.043,0.0005,0.666,510933,-9.305,0.679,1
62,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,0.493,284907,-7.408,0.279,1
67,0.505,0.206,124.065,0.171,0.0194,0.00104,0.47,380080,-11.966,0.767,1
68,0.909,0.125,173.674,0.0574,0.135,0.0336,0.307,366136,-7.08,0.443,1
69,0.721,0.391,97.578,0.0254,0.00348,0.0113,0.521,328427,-7.699,0.611,1
70,0.898,0.73,137.347,0.0677,0.000101,0.00562,0.263,363201,-5.013,0.377,1
71,0.723,0.146,98.745,0.0286,0.0016,0.176,0.478,259369,-6.512,0.265,1
72,0.598,0.101,98.709,0.0247,0.0197,0.00253,0.451,231987,-5.612,0.268,1
73,0.943,0.162,173.671,0.0669,0.0286,0.00401,0.249,233507,-5.188,0.458,1
74,0.959,0.161,154.221,0.0908,0.0263,0.000148,0.314,309640,-4.657,0.492,1
75,0.952,0.918,109.275,0.0723,6.28e-05,0.154,0.319,441467,-5.315,0.228,1
76,0.924,0.122,142.378,0.0553,0.00376,0.0,0.345,261733,-7.767,0.434,1
77,0.726,0.471,120.814,0.0371,0.379,2.58e-06,0.733,197160,-6.514,0.915,1
79,0.948,0.769,177.495,0.0631,0.00374,0.0131,0.166,506160,-8.503,0.476,1
80,0.891,0.314,124.005,0.0361,0.000261,0.00454,0.587,255573,-3.381,0.705,1
81,0.907,0.123,137.999,0.0546,0.000131,0.00215,0.503,207507,-4.278,0.453,1
