,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
93,The Chain - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,270213,81,5e9TFTbltYBg2xThimr0rU,1
94,Too Many Tears - 2003 Remastered Version,Best of Whitesnake,Whitesnake,2003-03-24,348000,36,5VixAoU5wQmTwRkjah256u,1
95,Doom And Gloom - Jeff Bhasker Mix,Doom And Gloom (Jeff Bhasker Mix),The Rolling Stones,2012-01-01,247175,47,1YHIX390WgL6fPmhZ1dLGz,1
96,"Paint It, Black",Aftermath,The Rolling Stones,1966-04-15,202266,80,63T7DJ1AFDD6Bn8VzG6JE8,1
97,(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,The Rolling Stones,1965-07-30,222813,77,2PzU4IB8Dr6mxV3lHuaG34,1
98,You Give Love A Bad Name,Bon Jovi Greatest Hits,Bon Jovi,2010-01-01,223146,16,61lqNlVRnWYiR9C7BDJw2l,1
99,Don't Tread On Me,Metallica,Metallica,1991-08-12,240333,60,2b7r6fN91KiHnp00aqHZ7x,1
100,It's My Life,Crush,Bon Jovi,2000-01-01,224493,80,0v1XpBHnsbkCn7iJ9Ucr1l,1
103,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,1992-01-01,295533,81,0jWgAnTrNZmOGmqgvHhZEm,1
105,Judgment Day - 2019 Remaster,Slip of the Tongue (Super Deluxe Edition; 2019 Remaster),Whitesnake,2019-10-04,316472,27,6xQeknrOMNmotwNLm0Pj0g,1
106,Sailing Ships - 2009 Remaster,Slip of the Tongue (20th Anniversary Edition),Whitesnake,1989,366666,25,6koM1FpvhqKn3jiCKzM2Rw,1
107,In The Army Now,In The Army Now,Status Quo,1986,281746,66,6QLspHLCLftSGPa6vNzKuo,1
108,Dancing with Tears in My Eyes - Single Version / 2009 Remaster,Dancing with Tears in My Eyes (2009 Remaster),Ultravox,1984-06-09,249493,45,6o6ZPVUPJ0GTs2gQIt2jWc,1
110,I'm Still Standing,Too Low For Zero,Elton John,1983-05-30,183440,83,1jDJFeK9x3OZboIAHsY9k2,1
112,Paradise City,Appetite For Destruction,Guns N' Roses,1987-07-21,405640,79,3YBZIN3rekqsKxbJc9FZko,1
113,Here I Go Again - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,1987,275395,70,6Nd6ntkzr4t8o1FKPGOSMt,1
114,Under Pressure - Remastered 2011,Hot Space (2011 Remaster),Queen,1982-05-03,248440,79,2fuCquhmrzHpu5xcA1ci9x,1
116,Heroes - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,1977,371413,77,7Jh1bpe76CNTCgdgAdBw4Z,1
119,Home Sweet Home,Theatre of Pain,Mötley Crüe,1985,240933,13,4zXvB4MoQD8onk0NCZbeHG,1
121,I Was Made For Lovin' You,Dynasty,KISS,1979-03-23,271240,82,07q0QVgO56EorrSGHC48y3,1
