,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
0,Smoke on the Water,Machine Head,Deep Purple,1972-03-25,342173,64,5SAUIWdZ04OxYfJFDchC7S,1
4,Sultans Of Swing,Dire Straits,Dire Straits,1978-10-07,348400,81,37Tmv4NnfQeb0ZgUC4fOJj,1
5,Paradise City,Appetite For Destruction,Guns N' Roses,1987-07-21,406306,0,5Q41NLTmGbVPozwHKK7bk2,1
6,Rock You Like A Hurricane,Love At First Sting,Scorpions,1984-05-04,252493,0,0XIvZ82aDF7JiSi3ZE320u,1
7,Still of the Night - 2017 Remastered Version,Whitesnake (30th Anniversary Remaster),Whitesnake,1987,399693,0,5PLPlz2rQlwMTFQqnQAPgu,1
8,The Final Countdown,The Final Countdown (Expanded Edition),Europe,1986,310333,79,3MrRksHupTVEQ7YbA0FsZK,1
9,Don't Cry (Original),Use Your Illusion I,Guns N' Roses,1991-09-17,284800,0,0ZEhlT9v8CdOKu55zhYGv9,1
10,Still Loving You,Love At First Sting (50th Anniversary Deluxe Edition),Scorpions,1984-05-04,388613,0,5u8yv7FPvdRZLBF40BaThB,1
11,Life Eternal,Prequelle,Ghost,2018-06-01,207120,53,5fXQmRFO1CDN04HtUVNCUh,1
12,Follow Your Heart,Follow Your Heart,Scorpions,2017-11-10,245626,55,1EJZQ6uhrvl4JtoKn7RKFd,1
15,Here I Go Again 87 - 2007 Remastered Version,1987 (2007 Remaster),Whitesnake,1987-11-01,270160,0,3rdxvEfBp86WNcRDLaFEk9,1
17,November Rain,Greatest Hits (EU Version),Guns N' Roses,2004-03-23,536960,0,614dpc6m0q6YGFmGchFGx1,1
18,Is This Love - 2007 Remastered Version,1987 (2007 Remaster),Whitesnake,1987-11-01,275760,0,5JSMty4xsozv560lo6UxhM,1
19,I Want to Know What Love Is - 2008 Remaster,No End in Sight: The Very Best of Foreigner,Foreigner,2008-07-08,295480,60,5DeXQ3qADuDmqsosnZAK3o,1
20,"Mama, I'm Coming Home",No More Tears (Expanded Edition),Ozzy Osbourne,1991-09-17,251866,68,0S3gpZzlT9Hb7CCSV2owX7,1
21,When the Smoke Is Going Down - MTV Unplugged,MTV Unplugged,Scorpions,2013-12-02,225173,37,4H8pOSgzSBkoZmjgZ0fOlf,1
23,Knockin' On Heaven's Door,Use Your Illusion II,Guns N' Roses,1991-09-18,336000,79,4JiEyzf0Md7KEFFGWDDdCr,1
24,Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,1987-07-21,356400,0,4MhTFsyqIJnjsOweVcU8ug,1
25,I Surrender,Difficult To Cure,Rainbow,1981-01-01,241893,0,0gGJO7JM51uAUu7EE2lxx6,1
26,Eye of the Tiger,Rocky IV,Various Artists,1985,245640,77,2KH16WveTQWT6KOG9Rg6e2,1
27,Wild Child,The Last Command,W.A.S.P.,1985,312400,61,3iC3Numiy9P3AkF7iioKmx,1
28,Don't Stop Believin',Escape,Journey,1981,250986,83,4bHsxqR3GMrXTxEPLuK5ue,1
29,I Was Made For Lovin' You,Dynasty (Remastered Version),KISS,1979-03-23,271240,0,2ZSCy3P1QzpJySCWA6NRIU,1
30,Since You Been Gone,Down To Earth (Deluxe Edition),Rainbow,1979,197866,0,4N4guy1faBG6oseDnhjkWy,1
31,Highway to Hell,Highway to Hell,AC/DC,1979-07-27,208400,84,2zYzyRzz6pRmhPzyfMEC8s,1
34,London Calling - Remastered,London Calling (Remastered),The Clash,1979,200480,73,5jzma6gCzYtKB1DbEwFZKH,1
35,Hotel California - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,2003-10-21,391376,59,4Vn7TykT27PIygBiZjTR2s,1
36,The Passenger,Lust For Life,Iggy Pop,1977-08-29,283360,74,15BQ7vEDv2LJuh8TxWIhtd,1
37,Behind Blue Eyes,Who's Next (Deluxe Edition),The Who,1971-08-14,221426,71,0cKk8BKEi7zXbdrYdyqBP5,1
38,Layla,Layla And Other Assorted Love Songs (Remastered 2010),Derek & The Dominos,1970-11-01,423840,76,2kkvB3RNRzwjFdGhaUA0tz,1
39,Breakfast In America - 2010 Remastered,Breakfast In America (Deluxe Edition),Supertramp,1979-03-29,159346,70,4a5pNRjwmzYQuEY1E7O6pj,1
40,Roxanne - Remastered 2003,Outlandos D'Amour (Remastered),The Police,1978-11-02,191500,0,3FmAUR4SPWa3P1KyDf21Fu,1
41,Don't Stop Me Now - Remastered 2011,Jazz (2011 Remaster),Queen,1978-11-10,209413,82,5T8EDUDqKcs6OSOwEsfqG7,1
46,Tragedy,Spirits Having Flown,Bee Gees,1979,305320,0,1AOmpykwJdf2NOkxwZFIjP,1
47,Detroit Rock City,Double Platinum,KISS,1978-01-01,215933,3,2jz6rWGqVCYsymwxGoaON4,1
49,Because the Night,Easter,Patti Smith,1978,204800,70,0lIoY4ZQsdn5QzhraM9o9u,1
50,It's a Heartache,It's a Heartache,Bonnie Tyler,2006-07-07,209760,61,2pag2vElkdroT8hIO4Gozi,1
51,Lust For Life,Lust For Life,Iggy Pop,1977-08-29,313925,66,21YxK0klhpfLW8budkJaMF,1
52,Love Hurts - Single Edit,Hair of the Dog,Nazareth,1975-04-01,232120,68,5g1rzUEyVFNr2i4ifEjlVN,1
53,Simple Man,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,357933,59,6F6DxQ3XjToEHX1e2KKSbg,1
55,Miss You - Remastered,Some Girls,The Rolling Stones,1978-06-09,288666,69,3hJLKtTpgct9Y9wKww0BiR,1
56,Sweet Home Alabama,Second Helping (Expanded Edition),Lynyrd Skynyrd,1974-04-15,283800,82,7e89621JPkKaeDSTQ3avtg,1
57,Have You Ever Seen The Rain,Pendulum (Expanded Edition),Creedence Clearwater Revival,1970-12-07,160133,82,2LawezPeJhN4AWuSB0GtAU,1
59,Walk Of Life,Brothers In Arms,Dire Straits,1985-05-13,249960,5,3Ud6fFep5ZlXzRWw6Sm8no,1
60,Money For Nothing,Brothers In Arms,Dire Straits,1985-05-13,510933,4,31DvHUCSioX0JD7B4kZMJ9,1
62,Dreamer,Down To Earth,Ozzy Osbourne,2001-10-16,284906,63,78PKCefXwDLbl4FVO1Pjzh,1
67,Money - 2011 Remastered Version,The Dark Side Of The Moon (2011 Remastered Version),Pink Floyd,1973-03-01,380080,66,7Gx2q0ueNwvDp2BOZYGCMO,1
68,Highway Star - Remastered 2012,Machine Head (Remastered),Deep Purple,1972-03-25,366136,68,3uMmllZo1AfoEnVT4ENCD3,1
69,Perfect Strangers,Perfect Strangers,Deep Purple,1984-09-16,328426,66,2JhJOPGvtqMpj5RQC8cIYf,1
70,Strange Kind of Woman - Live in Rome 2013,Live in Rome 2013,Deep Purple,2019-12-06,363201,12,0ENGqJWD9wFY5JM9V4cxnJ,1
71,All the Time in the World - Live in Rome 2013,Live in Rome 2013,Deep Purple,2019-12-06,259368,11,19cj5jW9ceHedTq3IF9D8O,1
72,When The Smoke Is Going Down,Blackout (50th Anniversary Deluxe Edition),Scorpions,1982-04-10,231986,0,4GELnDqZNS3EWPi6Mk1rmJ,1
73,Run to the Hills - 2015 Remaster,The Number of the Beast (2015 Remaster),Iron Maiden,1982,233506,73,4Zc7TCHzuNwL0AFBlyLdyr,1
74,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),Iron Maiden,1986,309640,67,1HM7Vp84E4SMzdrZONg6bH,1
75,Phantom of the Opera - 2015 Remaster,Iron Maiden (2015 Remaster),Iron Maiden,1980,441466,60,14H2fE4WEdkEem0kjVeODT,1
76,Long Live Rock N Roll,Long Live Rock N Roll (Deluxe Edition),Rainbow,1978,261733,55,2lRhq1ZfHNiaVNHkTWeXUv,1
77,Since You Been Gone,Down To Earth,Rainbow,1979-01-01,197160,68,6xq5DxZWGgdStAxGAil0yw,1
79,Stargazer,Rising,Rainbow,1976-01-01,506160,62,1aDNYyeU62BuQsBAY18i48,1
80,Rock You Like a Hurricane - 2011,Comeblack,Scorpions,2011-11-04,255573,65,46QazXxQS0B31CnbRCy8CV,1
81,Tainted Love,Comeblack,Scorpions,2011-11-04,207506,50,1abFEUbbAk8kQNOzy301Qt,1
83,"Highway Star - Live In Osaka, Japan / 16th August 1972 / 2014 Remaster",Made In Japan (Deluxe / 2014 Remaster),Deep Purple,1972,399647,37,7ft4a7E2QPLyNL09p4zo2E,1
84,Get Over It,Hell Freezes Over (Remaster 2018),Eagles,1994-11-08,211720,51,3KSFUTxxJ2XqyrQkNwY7y8,1
85,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,431333,65,3m7V717IKZqZLW5qUIOxdD,1
88,Twist And Shout - Remastered,Please Please Me (Remastered),The Beatles,1963-03-22,155226,0,4Z1fbYp0HuxLBje4MOZcSD,1
91,Silver Springs - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,288786,60,4nZi6XNe36Ut4Nij3IQ1yC,1
92,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,83,0ofHAoxe9vBkTCp2UQIavz,1
