,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
0,Changes,Vol. 4 (2009 Remastered Version),Black Sabbath,1972-09-25,282493,56,4MpIwDaZdFLafMDcAx4k4q,0
2,Simple Man,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,357933,59,6F6DxQ3XjToEHX1e2KKSbg,0
3,Can't Let You Go,Bent Out Of Shape,Rainbow,1983-01-01,259866,50,2L6LeWFHYhcxisYJ9X0Adn,0
5,Follow Your Heart,Follow Your Heart,Scorpions,2017-11-10,245626,55,1EJZQ6uhrvl4JtoKn7RKFd,0
6,Drugi Brzeg,Drugi Brzeg,Paluch,2020-07-04,206582,40,3qXIUQwBPM6ZMgDQZxQAYX,0
7,Scene Eight: The Spirit Carries On,"Metropolis, Pt. 2: Scenes from a Memory",Dream Theater,1999-01-01,398266,54,7ycz6sgZWp4wvF53BZVTjE,0
8,Catch The Rainbow,Ritchie Blackmore's Rainbow,Rainbow,1975-01-01,396466,59,7FtRUrOEDUHTvenvp1BqZo,0
9,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),Iron Maiden,1986,309640,67,1HM7Vp84E4SMzdrZONg6bH,0
11,Imagine - Remastered 2010,Imagine,John Lennon,1971-09-09,187866,76,7pKfPomDEeI4TPT6EOYjn9,0
13,High Hopes - 2011 Remaster,The Division Bell (2011 Remastered Version),Pink Floyd,1994-03-28,511013,56,236mI0lz8JdQjlmijARSwY,0
17,Flary,Ground Zero Mixtape,PRO8L3M,2018-03-16,211384,53,1jht5YeGQx0Rg8qgcEbUpz,0
18,On an Island,On an Island,David Gilmour,2006-03-07,407586,42,6WjWaFu6YADsMKqjmZE2g0,0
19,Brothers In Arms,Brothers In Arms,Dire Straits,1985-05-13,424000,3,0CzeAbfKFnxnWjwo5iYiCG,0
20,Is This Love - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,1987,284496,68,3pHpV3pa96s4vuBP7sQq0V,0
21,Telstar,Alma Mater,Shellerini,2019-10-11,201549,24,6ipDTIeurrftM88oQh88IZ,0
22,Między słowami,Egzotyka,Quebonafide,2017-06-07,255961,41,652mf6m91sSWCxsnHDwoWR,0
23,Feeling Good,I Put A Spell On You,Nina Simone,1965-06-01,174000,73,6Rqn2GFlmvmV4w9Ala0I1e,0
24,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered),Pink Floyd,1979-11-30,379213,67,7Fg4jpwpkdkGCvq1rrXnvx,0
25,When the Smoke Is Going Down - 2015 Remaster,Blackout,Scorpions,1982-03-29,231986,50,5CdbSPuZdIKFm5e0TUDJD8,0
