,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
116,Białkoholicy,Umowa o Dzieło,Taco Hemingway,2015-06-28,280764,0,3qP7mVYYiXk9BbhH4VM9Mw,0
122,Wiatr,Wosk,Taco Hemingway,2016-07-27,221718,0,7oG89V4J5UjVnihGNyRFTg,0
123,Podobno,Trzecie Rzeczy,KęKę,2016-09-16,229426,0,2iuRcL3A08dpPrZBpDR2XA,0
125,Ciemność,Pierwszy Dzień Po Końcu Świata,Sarius,2019-08-30,280258,34,6qykKqE67rrgOAf7abz85f,0
126,Kawa i papierosy,Mam się świetnie,Shellerini,2016-01-01,160173,0,3JYB96HxTbbqlobhRK0wC8,0
127,Szczerze,Wosk,Taco Hemingway,2016-07-27,201344,0,1eABKElTBuoawVGwH86ahC,0
128,Spokój,Alma Mater,Shellerini,2019-10-11,240000,23,2n6yqawCbg3A2QCxuN1wCd,0
129,AJETLAGTOMÓJNOWYDRAG,ROMANTIC PSYCHO,Quebonafide,2020-04-02,271160,41,5NgiIRfE2oPROyy58yuc0v,0
130,Nauczysz się czekać (prod. Auer),Muzyka współczesna,Pezet,2019-09-27,237320,43,4Gekcg5AZJypYxGxHma8K6,0
133,Walking in Memphis,Marc Cohn,Marc Cohn,1991-02-08,252613,72,5fgkjhICZnqFctrV0AyuQD,0
135,We'll Meet Again,Silver Memories: Our Vera,Vera Lynn,2016-03-18,183893,64,6WdcvzQADmrL8nucimUV6r,0
136,Ain't No Sunshine,Just As I Am,Bill Withers,1971-05-01,125093,78,1k1Bqnv2R0uJXQN4u6LKYt,0
137,Dance Me to the End of Love,Various Positions,Leonard Cohen,1984-12-11,280626,61,3mFzIFFFmEXTQs6BDAK2ZZ,0
140,Nie ma życia,Nadciśnienie,Paluch,2020-11-27,189264,29,3SUZOgGWN3Y28fw9NYo6au,0
145,Na Spokojnie,10 / 29,Paluch,2016-03-04,215467,35,29PtsEAg5BoUKwcpTFWZD2,0
148,Peeling,Czerwony Dywan,Paluch,2018-12-07,263399,57,0W2gYaPROLLYBvYxckrfQT,0
