,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
298,0.707,0.0742,127.969,0.0828,0.536,0.0,4,0.753,0,247280,-6.527,0.9,1,audio_features,spotify:track:4VpZdc76RyUGjohn4SUIjd
299,0.843,0.364,140.036,0.049,0.0491,0.0,4,0.663,2,195240,-3.672,0.375,1,audio_features,spotify:track:4wAJ8aQ9Ufj9ylfWESkrDL
300,0.737,0.0992,121.952,0.0375,0.00698,0.000334,4,0.796,9,212977,-8.429,0.868,0,audio_features,spotify:track:4MuyeQQn5vdAj5SGyfuX9G
301,0.893,0.0569,92.171,0.376,0.645,0.0,4,0.622,8,197040,-6.784,0.511,0,audio_features,spotify:track:2VVEyPFbGkDePlMDHxjqhq
302,0.505,0.156,176.917,0.0328,0.00989,0.13,4,0.419,4,217680,-6.004,0.358,0,audio_features,spotify:track:7Ks9Ajgd4ZZ5hhiDCWcDoc
303,0.00756,0.109,133.32,0.0382,0.941,0.00643,4,0.438,0,141133,-26.44,0.277,0,audio_features,spotify:track:4l9hml2UCnxoNI3yCdL1BW
304,0.463,0.0742,114.891,0.0354,0.0116,9.65e-05,4,0.517,1,206493,-9.664,0.49,0,audio_features,spotify:track:6FsXPr00DJIGSMRLNrmmZy
305,0.79,0.201,95.549,0.261,0.0449,3.05e-06,4,0.674,6,231828,-5.85,0.408,0,audio_features,spotify:track:4nnVBrFeB6FSlAT7eYnfzD
306,0.684,0.127,138.913,0.264,0.569,0.0,4,0.529,6,277260,-8.839,0.446,1,audio_features,spotify:track:1Abp3RSKwmuppE2SFkH93Z
307,0.622,0.156,112.02,0.0282,0.0176,0.0,4,0.656,4,237147,-6.391,0.159,0,audio_features,spotify:track:5OiC3eltQO7gXvOZMbrTn3
308,0.668,0.441,80.189,0.312,0.437,0.0,4,0.638,4,280947,-6.07,0.411,0,audio_features,spotify:track:5G2kPOVJWA7lggyxoL1xcm
309,0.745,0.105,88.015,0.163,0.495,0.0102,4,0.83,5,273668,-8.34,0.498,0,audio_features,spotify:track:2nrgOEtV9AZn6oDzbV3uMq
310,0.726,0.0886,74.969,0.261,0.302,0.0,4,0.777,3,198613,-7.841,0.798,0,audio_features,spotify:track:0yd4OCmrcqvsAMUJGCMEFQ
